OBJECTID,STATEFP20,COUNTYFP20,TRACTCE20,BLOCKCE20,GEOID20,NAME20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,GID,TOTAL_AC,LAND_AC,TCAN_AC,TCAN_PCT,VEG_AC,VEG_PCT,BLD_AC,BLD_PCT,TO_IA_AC,TO_IA_PCT,ROAD_AC,ROAD_PCT,PLOT_AC,PLOT_PCT,SWALK_AC,SWALK_PCT,OT_IA_AC,OT_IA_PCT,WAT_AC,WAT_PCT,SOIL_AC,SOIL_PCT,UTC_AC,UTC_PCT,PPA_V_AC,PPA_V_PCT,TO_PPA_AC,TO_PPA_PCT,PPA_IA_AC,PPA_IA_PCT,UN_V_AC,UN_V_PCT,TO_UN_AC,TO_UN_PCT,UN_IA_AC,UN_IA_PCT,UN_SL_AC,UN_SL_PCT,WTR_AC,WTR_PCT,UTC_AC_06,UTC_PCT_06,UTCAC0620,UTCPCT0620,UTC_AC_11,UTC_PCT_11,UTCAC1120,UTCPCT1120,UTC_AC_15,UTC_PCT_15,UTCAC1520,UTCPCT1520,GIS_ID,GLOBALID,SHAPEAREA,SHAPELEN
656,11,001,002102,1013,110010021021013,Block 1013,G5040,S,1404,0,+38.9576377,-077.0196361,1454,0.35,0.35,0.14,39.13,0.03,8.34,0.03,7.91,0.18,52.53,0.11,31.22,0,0,0.02,5.99,0.03,7.41,0,0,0,0,0.14,39.13,0.03,8.34,0.05,14.33,0.02,5.99,0,0,0.16,46.54,0.16,46.54,0,0,0,0,0.1,28.57142857,0.04,10.55857143,0.14,40,0,-0.87,0.12,34.28571429,0.02,4.84428571,UTC_BlockPly_2020_1454,{2D896BCC-A5F7-4ED5-8170-13E60DD87471},0,0
657,11,001,001301,1002,110010013011002,Block 1002,G5040,S,408196,0,+38.9518097,-077.0520874,599,100.86,100.76,97.08,96.25,3.24,3.21,0,0,0.44,0.43,0.4,0.39,0,0,0,0,0.03,0.03,0.1,0.1026518,0.01,0.01,97.08,96.34,2.18,2.17,2.19,2.17,0.01,0.01,1.05,1.05,1.49,1.48,0.43,0.43,0.01,0.01,0.1,0.1,96.64,95.91107582,0.44,0.42892418,97.65,96.91345772,-0.57,-0.57345772,97.8,97.06232632,-0.72,-0.72232632,UTC_BlockPly_2020_599,{AD784FAF-1066-46F6-932F-DE7550FE7212},0,0
658,11,001,001100,3004,110010011003004,Block 3004,G5040,S,21678,0,+38.9573499,-077.0729066,3033,5.36,5.36,3.36,62.78,0.42,7.79,0.94,17.5,1.58,29.43,0.32,6.01,0,0,0.07,1.31,0.25,4.6,0,0,0,0,3.36,62.78,0.42,7.78,0.49,9.11,0.07,1.32,0,0,1.51,28.11,1.51,28.11,0,0,0,0,2.98,55.59701493,0.38,7.18298507,2.82,52.6119403,0.54,10.1680597,3.5,65.29850746,-0.14,-2.51850746,UTC_BlockPly_2020_3033,{903ADC9D-E185-4765-BB13-1F08F23FCB67},0,0
659,11,001,001100,2019,110010011002019,Block 2019,G5040,S,20276,0,+38.9573562,-077.0787206,3717,5.01,5.01,3.56,71.11,0.4,8.03,0.63,12.53,1.05,20.87,0.27,5.43,0,0,0.03,0.59,0.12,2.32,0,0,0,0,3.56,71.11,0.4,7.98,0.43,8.61,0.03,0.63,0,0,1.02,20.28,1.02,20.28,0,0,0,0,3.29,65.66866267,0.27,5.44133733,3.14,62.6746507,0.42,8.4353493,3.57,71.25748503,-0.01,-0.14748503,UTC_BlockPly_2020_3717,{B28C6367-DD62-49E5-927E-647D9B92786B},0,0
660,11,001,001100,4001,110010011004001,Block 4001,G5040,S,13497,0,+38.9573280,-077.0760707,1665,3.34,3.34,2.21,66.34,0.34,10.08,0.47,14.2,0.79,23.58,0.19,5.79,0,0,0.05,1.39,0.07,2.21,0,0,0,0,2.21,66.34,0.34,10.08,0.38,11.46,0.05,1.39,0,0,0.74,22.2,0.74,22.2,0,0,0,0,2.28,68.26347305,-0.07,-1.92347305,2.16,64.67065868,0.05,1.66934132,2.28,68.26347305,-0.07,-1.92347305,UTC_BlockPly_2020_1665,{E7F5D512-5F33-4008-B10E-300F88F3142E},0,0
661,11,001,001100,3005,110010011003005,Block 3005,G5040,S,2862,0,+38.9574716,-077.0749028,3128,0.71,0.71,0.53,75.28,0.02,3,0,0,0.15,21.72,0.14,19.24,0,0,0.02,2.23,0,0.24,0,0,0,0,0.53,75.28,0,0.56,0.02,2.79,0.02,2.23,0.02,2.44,0.16,21.93,0.14,19.48,0,0,0,0,0.56,78.87323944,-0.03,-3.59323944,0.55,77.46478873,-0.02,-2.18478873,0.6,84.50704225,-0.07,-9.22704225,UTC_BlockPly_2020_3128,{400A0C8C-4BE8-4B48-BE41-AA135286FBA7},0,0
662,11,001,002102,6000,110010021026000,Block 6000,G5040,S,3678,0,+38.9574486,-077.0165744,4392,0.91,0.91,0.2,21.88,0.12,12.74,0.14,14.97,0.59,65.38,0.26,28.74,0,0,0.06,6.15,0.14,15.51,0,0,0,0,0.2,21.88,0.12,12.68,0.17,18.89,0.06,6.21,0,0,0.54,59.23,0.54,59.23,0,0,0,0,0.12,13.18681319,0.08,8.69318681,0.25,27.47252747,-0.05,-5.59252747,0.19,20.87912088,0.01,1.00087912,UTC_BlockPly_2020_4392,{2A04AAB4-7830-4C85-8FAD-5E00B31B7696},0,0
663,11,001,002102,6001,110010021026001,Block 6001,G5040,S,14789,0,+38.9570064,-077.0171076,5363,3.65,3.65,0.72,19.69,0.29,7.85,0.95,26.01,2.65,72.45,0.9,24.69,0.14,3.72,0.17,4.59,0.49,13.45,0,0,0,0,0.72,19.69,0.29,7.84,0.59,16.16,0.3,8.33,0,0,2.34,64.14,2.34,64.14,0,0,0,0,0.38,10.4109589,0.34,9.2790411,0.55,15.06849315,0.17,4.62150685,0.54,14.79452055,0.18,4.89547945,UTC_BlockPly_2020_5363,{59AE39A1-411D-4074-88B0-23630FF6CFAC},0,0
664,11,001,002102,4001,110010021024001,Block 4001,G5040,S,12327,0,+38.9572896,-077.0152807,516,3.04,3.04,0.62,20.33,0.26,8.38,0.8,26.34,2.17,71.28,0.67,21.96,0,0,0.08,2.53,0.62,20.45,0,0,0,0,0.62,20.33,0.25,8.25,0.33,10.92,0.08,2.67,0,0,2.09,68.75,2.09,68.75,0,0,0,0,0.62,20.39473684,0,-0.06473684,0.79,25.98684211,-0.17,-5.65684211,0.68,22.36842105,-0.06,-2.03842105,UTC_BlockPly_2020_516,{2631713A-A947-4C00-A9A8-AE6B72742DF9},0,0
665,11,001,002102,3000,110010021023000,Block 3000,G5040,S,21023,0,+38.9571237,-077.0126326,2818,5.19,5.19,1.15,22.2,0.21,4,1.69,32.61,3.83,73.8,0.8,15.48,0.23,4.44,0.34,6.64,0.76,14.63,0,0,0,0,1.15,22.2,0.21,4,0.78,15.08,0.58,11.08,0,0,3.26,62.72,3.26,62.72,0,0,0,0,0.92,17.72639692,0.23,4.47360308,1.21,23.31406551,-0.06,-1.11406551,0.98,18.88246628,0.17,3.31753372,UTC_BlockPly_2020_2818,{F40E27B3-489B-4B60-BE47-ED7DEB26A3B4},0,0
666,11,001,002102,2000,110010021022000,Block 2000,G5040,S,26562,0,+38.9571236,-077.0103300,3953,6.56,6.56,1.44,21.93,0.97,14.77,1.67,25.47,4.16,63.3,1.05,15.96,0.23,3.44,0.33,4.95,0.88,13.48,0,0,0,0,1.44,21.93,0.97,14.77,1.52,23.16,0.55,8.4,0,0,3.6,54.91,3.6,54.91,0,0,0,0,1.17,17.83536585,0.27,4.09463415,1.73,26.37195122,-0.29,-4.44195122,1.36,20.73170732,0.08,1.19829268,UTC_BlockPly_2020_3953,{A436D392-8475-4785-A003-634CE7F7825E},0,0
